gene_name,family_id,description,is_clock_network_gene,family_size
NCU04885,1983,alpha-glucosidase,True,1
pan-2,1984,3-methyl-2-oxobutanoate hydroxymethyltransferase,False,1
NCU10046,1985,E2 ubiquitin-conjugating enzyme,True,1
NCU10044,1986,Apurinic-apyrimidinic endonuclease 1,True,1
NCU09982,1987,Cytoplasmic dynein 1 light intermediate chain,False,1
NCU10038,1988,glycerophosphodiester phosphodiesterase,False,1
NCU08904,1989,20S-pre-rRNA D-site endonuclease NOB1,False,1
NCU08903,1990,H/ACA ribonucleoprotein complex subunit NOP10,True,1
NCU06870,1991,serine C-palmitoyltransferase,True,1
gpr-3,1992,G-protein coupled receptor,False,1
gfa1,1993,glutamine--fructose-6-phosphate transaminase (isomerizing),False,1
pcb-7,1994,Proteasome subunit beta,False,1
NCU07362,1995,L-lactate dehydrogenase (cytochrome),False,1
NCU04987,1996,Hemolysin-III channel protein Izh2,True,1
NCU09903,1997,Elongation factor 3,True,1
NCU09901,1998,RRM domain-containing protein,False,1
NCU10029,1999,peptide-methionine (S)-S-oxide reductase,False,1
NCU06860,2000,MFS multidrug transporter,False,1
NCU09115,2001,Cytochrome P450 52A11,False,1
rpn-2,2002,26S proteasome regulatory subunit RPN2,False,1
NCU09844,2003,6-methylsalicylate decarboxylase,False,1
NCU06943,2004,Nucleolar protein 56,True,1
NCU06941,2005,Prefoldin subunit 6,False,1
NCU06939,2006,Endosome-associated ubiquitin isopeptidase,False,1
NCU09529,2007,Zn(2)-C6 fungal-type domain-containing protein,False,1
nop-16,2008,Nucleolar protein 16,False,1
NCU10019,2009,Rhodopsin domain-containing protein,False,1
NCU10011,2010,Cytochrome P450,False,1
NCU10009,2011,ATP-binding cassette transporter,True,1
NCU06868,2012,Sec23/Sec24 family protein,False,1
NCU06866,2013,asparagine--tRNA ligase,False,1
NCU07794,2014,2Fe-2S iron-sulfur cluster binding domain-containing protein,False,1
NCU09978,2015,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
NCU05908,2016,deuterolysin,True,1
NCU05933,2017,Amine oxidase,False,1
NCU07360,2018,DnaJ domain-containing protein,True,1
NCU07358,2019,Helicase C-terminal domain-containing protein,False,1
pks-1,2020,Polyketide synthase 1,False,1
NCU09291,2021,Sulfhydryl oxidase,True,1
NCU09287,2022,Sugar transporter,True,1
NCU09018,2023,Peptide hydrolase,False,1
NCU09012,2024,Multidrug resistance-associated protein 1,False,1
NCU09420,2025,Hsp20-like protein,False,1
NCU09419,2026,Cytochrome P450 3A4,True,1
NCU09641,2027,Xylanolytic transcriptional activator regulatory domain-containing protein,False,1
pks-5,2028,Polyketide synthase 5,False,1
NCU09636,2029,Cytochrome P450,False,1
NCU09635,2030,FAD-binding PCMH-type domain-containing protein,False,1
NCU04621,2031,Manganese lipoxygenase,False,1
NCU07411,2032,DNA-directed DNA polymerase theta,True,1
NCU07409,2033,Uncharacterized protein,True,1
msh1,2034,MutS2 protein,False,1
NCU07740,2035,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
gpig-1,2036,Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit,False,1
NCU09756,2037,ATP-dependent RNA helicase,False,1
NCU09754,2038,ferroxidase,False,1
NCU06950,2039,G-patch domain-containing protein,False,1
NCU06948,2040,Calmodulin,False,1
NCU06946,2041,ABC transporter domain-containing protein,False,1
gh10-1,2042,Beta-xylanase,False,1
NCU09155,2043,Peptidase A1 domain-containing protein,True,1
NCU07769,2044,Rhodopsin domain-containing protein,False,1
NCU07762,2045,"N-acetylgalactosaminide beta-1,3-galactosyltransferase",False,1
NCU07577,2047,Zinc finger containing protein,False,1
NCU07576,2048,Tafazzin family protein,True,1
NCU07574,2049,NTF2 and RRM domain-containing protein,False,1
NCU10155,2050,DNA polymerase epsilon subunit B,False,1
prm-1,2051,Plasma membrane fusion protein prm-1,False,1
NCU09909,2052,Urea active transporter,False,1
rgr1,2053,Mediator of RNA polymerase II transcription subunit 14,False,1
vma-21,2054,Vacuolar ATPase assembly integral membrane protein vma-21,False,1
crf10-1,2055,Clockswitch protein CSW-1,False,1
NCU07353,2056,UPF0499 protein NCU07353,False,1
aguA,2057,Alpha-glucuronidase,False,1
NCU09774,2058,Feruloyl esterase C,False,1
gh61-11,2059,lytic cellulose monooxygenase (C4-dehydrogenating),False,1
NCU07517,2060,Malic acid transport protein,False,1
NCU07516,2061,RING-type E3 ubiquitin transferase,False,1
NCU09854,2062,ATP-grasp domain-containing protein,False,1
NCU04898,2064,Cation-transporting ATPase 4,True,1
NCU04887,2065,Glycosyltransferase family 71 protein,False,1
NCU07422,2066,6-phosphogluconate dehydrogenase C-terminal domain-like protein,False,1
NCU07418,2067,CCCH zinc finger and SMR domain-containing protein,False,1
NCU07417,2068,Golgi apparatus membrane protein TVP38,False,1
NCU09503,2069,BRCT domain-containing protein,True,1
NCU09302,2070,DNA damage-binding protein cmr1,False,1
nuo14,2071,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,False,1
gh38-1,2072,Alpha-mannosidase,False,1
NCU07393,2073,rRNA maturation protein,False,1
gh31-1,2074,alpha-glucosidase,False,1
NCU09279,2075,laccase,False,1
NCU09274,2076,Cytochrome P450,True,1
NCU09272,2077,Ent-kaurene synthase,True,1
NCU09524,2078,CBM1 domain-containing protein,False,1
NCU09521,2079,Glutamate-rich WD repeat-containing protein 1,False,1
NCU09520,2080,histidine kinase,False,1
NCU09514,2081,LDB19 N-terminal domain-containing protein,True,1
NCU09510,2082,N-acetylglucosaminylphosphatidylinositol deacetylase,False,1
mig-12,2083,ABC multidrug transporter,False,1
NCU09829,2084,Xylanolytic transcriptional activator regulatory domain-containing protein,False,1
NCU09825,2085,histone acetyltransferase,False,1
NCU09823,2086,Rhodopsin domain-containing protein,True,1
tca-11,2087,Succinate dehydrogenase cytochrome b560 subunit,False,1
NCU07755,2088,Tyrosine--tRNA ligase,False,1
NCU09063,2089,Structural maintenance of chromosomes protein 4,False,1
NCU09055,2090,CFEM domain-containing protein,True,1
NCU09048,2091,U4/U6 snRNA-associated-splicing factor PRP24,False,1
NCU05967,2092,Cytochrome P450,True,1
NCU05966,2093,Protein artemis,False,1
gh2-2,2094,beta-galactosidase,False,1
NCU05955,2095,Cel74a,False,1
nde-3,2096,NAD(P)H dehydrogenase 3,False,1
NCU09443,2097,P-loop containing nucleoside triphosphate hydrolase protein,False,1
NCU09442,2098,Protein PBDC1 homolog,False,1
NCU09437,2099,U3 small nucleolar RNA-associated protein 22,False,1
rna-14,2100,mRNA 3'-end-processing protein rna-14,False,1
NCU07559,2101,Uncharacterized protein,False,1
NCU09900,2102,VPS37 C-terminal domain-containing protein,False,1
vma-5,2103,V-type proton ATPase subunit C,False,1
NCU09896,2104,Adenylyl-sulfate kinase,False,1
NCU09892,2105,proline--tRNA ligase,False,1
NCU05984,2106,Formamidopyrimidine-DNA glycosylase,False,1
NCU05983,2107,"3,4-dihydroxy-2-butanone 4-phosphate synthase",True,1
NCU05980,2108,Carboxypeptidase,False,1
NCU09888,2109,Glycosyltransferase family 34 protein,False,1
NCU09887,2110,Drp1p,False,1
NCU09883,2111,RGS domain-containing protein,False,1
NCU09879,2113,Nineteen complex-related protein 2-domain-containing protein,False,1
NCU09876,2114,Major facilitator superfamily (MFS) profile domain-containing protein,True,1
NCU09651,2115,Kelch repeat protein,True,1
NCU09648,2116,aldehyde dehydrogenase (NAD(+)),False,1
NCU09646,2117,acetyl-CoA C-acyltransferase,False,1
NCU09643,2118,Phosphatidate cytidylyltransferase,True,1
NCU09410,2119,MFS general substrate transporter,True,1
NCU09407,2120,Patatin-like phospholipase domain-containing protein,False,1
NCU09406,2121,Amine oxidase,False,1
NCU09556,2122,Homeobox domain-containing protein,True,1
NCU09553,2123,3-hydroxybutyryl CoA dehydrogenase,False,1
tof-1,2124,Topoisomerase 1-associated factor 1,False,1
NCU09550,2125,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
NCU09548,2126,Putative phospholipase,False,1
NCU09547,2127,U4/U6.U5 tri-snRNP-associated protein 2,False,1
NCU09545,2128,Methylenetetrahydrofolate reductase 2,True,1
NCU09541,2129,CASTOR ACT domain-containing protein,False,1
NCU09538,2130,Dipeptidase,False,1
NCU09537,2131,Rho-GTPase-activating protein 8,False,1
NCU05945,2132,Uncharacterized protein,False,1
med-7,2133,Mediator of RNA polymerase II transcription subunit 7,False,1
NCU05943,2134,Transcription factor BYE1,True,1
pca-3,2135,Proteasome subunit alpha type,False,1
NCU05937,2136,Mannose-1-phosphate guanyltransferase,True,1
NCU05936,2137,P-loop containing nucleoside triphosphate hydrolase protein,True,1
NCU06011,2138,Multidrug resistance protein 3,False,1
NCU06005,2139,glycerol kinase,True,1
NCU05999,2140,Protein farnesyltransferase subunit beta,False,1
NCU07387,2141,RING-type domain-containing protein,True,1
rsm26,2142,Small ribosomal subunit protein mS42,False,1
tpc-1,2143,Mitochondrial thiamine pyrophosphate carrier 1,False,1
NCU07383,2144,Transcriptional regulator Ngg1,False,1
NCU07381,2145,DNA cross-link repair protein pso2/snm1,False,1
NCU07374,2146,Zn(2)-C6 fungal-type domain-containing protein,False,1
NCU09143,2147,"ATP synthase F(0) complex subunit e, mitochondrial",False,1
ro-6,2148,Cytoplasmic dynein 1 intermediate chain 2,False,1
nop-12,2149,Nucleolar protein 12,False,1
NCU09130,2150,Transcriptional regulatory protein DEP1,False,1
NCU09129,2151,Cytochrome c oxidase assembly factor 3,True,1
NCU09120,2152,Lysine-specific histone demethylase Aof2,False,1
NCU09119,2153,ATP synthase subunit gamma,True,1
NCU09357,2154,Stage V sporulation protein K,False,1
NCU09347,2155,"fructose-2,6-bisphosphate 2-phosphatase",True,1
NCU09721,2156,AP complex subunit beta,False,1
NCU09718,2157,N(4)-(Beta-n-acetylglucosaminyl)-l-asparaginase,False,1
NCU09715,2158,Trehalose-6-phosphate synthase,False,1
NCU09710,2159,Prenylcysteine lyase,True,1
NCU09709,2160,T-complex protein 1 subunit zeta,True,1
NCU09707,2161,Eukaryotic translation initiation factor 3 subunit K,False,1
NCU09706,2162,DNA ligase,True,1
NCU09703,2163,Alpha-acetolactate decarboxylase,True,1
NCU09700,2164,T-complex protein 1 subunit eta,False,1
NCU09038,2165,Protein kinase domain-containing protein,False,1
NCU09026,2166,Carboxylic ester hydrolase,False,1
NCU09024,2167,GMC oxidoreductase,False,1
NCU09022,2168,Rhodopsin domain-containing protein,False,1
NCU09001,2169,poly(A)-specific ribonuclease,True,1
NCU08993,2170,HEAT repeat containing protein,False,1
NCU08992,2171,Mitochondrial cytochrome c oxidase assembly factor,False,1
NCU08990,2172,Large ribosomal subunit protein eL39,False,1
dml-1,2173,Protein dml-1,False,1
nde-2,2174,NADH:ubiquinone reductase (non-electrogenic),False,1
NCU08977,2175,Long-chain-alcohol oxidase,False,1
NCU08976,2176,Elongation of fatty acids protein,False,1
mrpl51,2177,Large ribosomal subunit protein mL43,False,1
NCU07548,2178,RRM domain-containing protein,False,1
NCU07545,2179,Store-operated calcium entry-associated regulatory factor,True,1
NCU07543,2180,Myb-like domain-containing protein,False,1
NCU07538,2181,Rhodopsin domain-containing protein,False,1
NCU07536,2182,Carboxypeptidase A1,False,1
NCU07533,2183,Secreted aspartic proteinase,True,1
NCU07531,2184,Copper-transporting ATPase,False,1
NCU07530,2185,Transporter smf2,True,1
stk-54,2186,EKC/KEOPS complex subunit BUD32,False,1
NCU09175,2187,"GPI-anchored cell wall beta-1,3-endoglucanase EglC",True,1
NCU09171,2188,Attractin/MKLN-like beta-propeller domain-containing protein,False,1
NCU09170,2189,non-reducing end alpha-L-arabinofuranosidase,True,1
NCU09165,2190,FAD-binding PCMH-type domain-containing protein,False,1
ada-6,2192,ADA-6,False,1
pks-3,2193,Polyketide synthase 3,False,1
nst-4,2194,Hst3p,False,1
gh7-2,2195,Glucanase,False,1
vad-6,2196,Nitrate assimilation regulatory protein nirA,False,1
NCU04657,2197,1-aminocyclopropane-1-carboxylate deaminase,False,1
NCU04637,2198,BAR adaptor protein RVS167,False,1
NCU06921,2199,mRNA splicing factor,True,1
NCU06895,2200,Cytochrome P450 4A5,True,1
NCU06894,2201,C3H1-type domain-containing protein,True,1
NCU06882,2202,RBR-type E3 ubiquitin transferase,False,1
NCU06881,2203,Succinyl-CoA:3-ketoacid-coenzyme A transferase,True,1
NCU06880,2204,AhpC/TSA family protein,True,1
NCU06878,2205,DASH complex subunit DAM1,False,1
NCU06876,2206,Adenosine 5'-monophosphoramidase HNT1,False,1
NCU08226,2207,Glycosyltransferase 2-like domain-containing protein,True,1
NCU08225,2208,Nickel/cobalt efflux system,True,1
NCU08216,2209,Cystathionine beta-synthase,False,1
NCU08197,2210,Cytochrome P450 2E1,True,1
NCU08195,2211,arginine--tRNA ligase,True,1
NCU08194,2212,ferric-chelate reductase (NADPH),True,1
NCU08193,2213,Copper acquisition factor BIM1-like domain-containing protein,False,1
gh10-2,2214,Beta-xylanase,False,1
NCU04953,2216,Penicillopepsin,False,1
NCU04948,2217,Uncharacterized protein,True,1
NCU04946,2218,Mitochondrial outer membrane protein OM14 C-terminal domain-containing protein,False,1
NCU04941,2219,RBR-type E3 ubiquitin transferase,False,1
NCU04939,2220,Rhodopsin domain-containing protein,True,1
NCU04938,2221,Choline dehydrogenase,False,1
NCU04931,2222,Rhodopsin domain-containing protein,False,1
NCU04928,2223,Tat pathway signal sequence,False,1
NCU04927,2224,Nrm1,False,1
NCU02382,2225,Ubiquitin carboxyl-terminal hydrolase,False,1
tah-2,2226,TAH-2,False,1
NCU02438,2227,dihydrolipoyllysine-residue succinyltransferase,False,1
NCU02434,2228,Protein SQS1,True,1
NCU08138,2229,Holocytochrome c-type synthase,False,1
NCU08137,2230,"37S ribosomal protein YMR-31, mitochondrial",True,1
tca-14,2231,fumarate hydratase,False,1
NCU10006,2232,C2H2-type domain-containing protein,False,1
NCU05902,2233,Vacuolar assembly protein,False,1
NCU05901,2234,Anaphase-promoting complex subunit 1 N-terminal domain-containing protein,False,1
NCU02349,2235,UDP-glucose:glycoprotein glucosyltransferase,False,1
NCU02344,2236,lytic cellulose monooxygenase (C4-dehydrogenating),False,1
NCU02343,2237,non-reducing end alpha-L-arabinofuranosidase,False,1
NCU02319,2238,Aminopeptidase,False,1
NCU09567,2239,Myo-inositol-1(Or 4)-monophosphatase,False,1
NCU09565,2240,Cytochrome P450,False,1
drc-3,2241,DNA replication complex GINS protein psf3,False,1
NCU02242,2242,RING-type E3 ubiquitin transferase,False,1
NCU02237,2243,Polynucleotide 5'-hydroxyl-kinase GRC3 (Fragment),True,1
rtc5,2244,Restriction of telomere capping protein 5,False,1
NCU02207,2245,T-complex protein 1 subunit beta,False,1
NCU02203,2246,RING-type E3 ubiquitin transferase,False,1
rrg-2,2247,Transcription factor,False,1
NCU02411,2248,Microtubule associated protein,True,1
NCU02408,2249,Delta 8-(E)-sphingolipid desaturase,True,1
NCU02405,2250,Signal recognition particle subunit SRP14,True,1
NCU06090,2251,SURF6-domain-containing protein,False,1
NCU06089,2252,Exonuclease,True,1
NCU06084,2253,Vacuolar protein sorting-associated protein 51 homolog,False,1
NCU08145,2254,Succinyl-CoA:3-ketoacid-coenzyme A transferase,False,1
NCU08176,2255,Pectate lyase,True,1
NCU08175,2256,Protein kinase domain-containing protein,False,1
NCU02201,2257,laccase,False,1
NCU02198,2258,Peptidase A1 domain-containing protein,False,1
NCU02191,2259,"N-acetylgalactosaminide beta-1,3-galactosyltransferase",False,1
NCU02424,2260,Tetratricopeptide repeat and J domain-containing co-chaperone DNJ1,False,1
cog-6,2261,Conserved oligomeric Golgi complex subunit 6,False,1
mrps17,2262,Small ribosomal subunit protein uS17m,False,1
NCU02418,2263,SPIN90/Ldb17 leucine-rich domain-containing protein,False,1
NCU02416,2264,Phospholipid:diacylglycerol acyltransferase,False,1
NCU02414,2265,Mannose-1-phosphate guanyltransferase,False,1
rtc6,2266,Large ribosomal subunit protein bL36m,False,1
NCU06037,2267,N-alpha-acetyltransferase 40,False,1
NCU06035,2268,Elongation factor 1-beta,True,1
NCU06033,2269,GPI transamidase component PIG-S,False,1
rhd,2270,Mitochondrial peroxiredoxin PRX1,False,1
jip5,2271,WD repeat-containing protein jip5,False,1
gh18-7,2272,chitinase,False,1
NCU02232,2273,DNA primase,True,1
NCU02231,2274,tRNA (guanine(9)-N1)-methyltransferase,False,1
NCU02225,2275,TMEM1 family protein,True,1
rpn-3,2276,26S proteasome non-ATPase regulatory subunit 3,False,1
NCU02223,2277,Transcription initiation factor TFIID subunit 12 domain-containing protein,True,1
NCU02221,2278,DASH complex subunit SPC34,False,1
cox-23,2279,"Cytochrome c oxidase-assembly factor cox-23, mitochondrial",False,1
NCU08165,2280,Rhodopsin domain-containing protein,False,1
arg-10,2281,argininosuccinate lyase,False,1
rtt-106,2282,Histone chaperone rtt-106,False,1
NCU08158,2283,protein-tyrosine-phosphatase,False,1
NCU08136,2284,Zn(2)-C6 fungal-type domain-containing protein,False,1
NCU08133,2285,Carbonic anhydrase,False,1
gh13-1,2287,Alpha-amylase,False,1
NCU08128,2288,Benzoate 4-monooxygenase cytochrome P450,False,1
NCU08126,2289,D-lactate dehydrogenase (cytochrome),False,1
NCU08123,2290,YDG domain-containing protein,False,1
NCU09576,2291,C2H2-type domain-containing protein,True,1
NCU09575,2292,Carboxylic ester hydrolase,False,1
NCU09572,2293,Actin-related protein 2/3 complex subunit 3,False,1
NCU09571,2294,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,True,1
NCU02403,2295,Ubiquinone biosynthesis protein,False,1
NCU02402,2296,Rad50/SbcC-type AAA domain-containing protein,False,1
ilv-5,2297,Pyruvate decarboxylase,False,1
NCU02396,2298,Sulfhydryl oxidase,False,1
oxr1,2299,Oxidation resistance protein 1,False,1
NCU02387,2300,Nuclear import and export protein Msn5,False,1
NCU05766,2301,Oxidase ustYa,False,1
NCU05753,2302,ESCRT-I component,True,1
NCU05752,2303,"Indoleamine 2,3-dioxygenase",True,1
NCU05750,2304,ribonuclease H,True,1
NCU02326,2305,HMG box domain-containing protein,False,1
NCU02381,2306,CDP-diacylglycerol--serine O-phosphatidyltransferase,True,1
EFM5,2307,Protein-lysine N-methyltransferase EFM5,False,1
rbd-2,2308,Rhomboid-type serine protease 2,False,1
gh28-1,2309,endo-polygalacturonase,False,1
NCU02367,2310,Swiss Army Knife RNA repair protein HAD domain-containing protein,False,1
NCU02359,2311,Inheritance of peroxisomes protein 1,True,1
NCU02358,2312,Protein SDS23,True,1
NCU02357,2313,Importin subunit beta-3,False,1
col-25,2314,Fungal specific transcription factor,False,1
cdc24,2315,Rho guanyl nucleotide exchange factor,False,1
mrp10,2316,Small ribosomal subunit protein mS37,False,1
trax,2317,TRAX,False,1
NCU06055,2318,Extracellular alkaline protease,False,1
NCU06051,2319,Cytochrome b5 heme-binding domain-containing protein,True,1
NCU06049,2320,DNA damage response protein RcaA,False,1
NCU06047,2321,Small ribosomal subunit protein uS5,True,1
NCU06042,2322,Fumarate reductase,False,1
NCU06040,2323,Major facilitator superfamily (MFS) profile domain-containing protein,True,1
NCU05894,2324,U3 small nucleolar RNA-associated protein 6 N-terminal domain-containing protein,False,1
int-6,2325,Eukaryotic translation initiation factor 3 subunit E,False,1
prr-1,2326,pH-response regulator protein palA/prr-1,False,1
NCU05862,2327,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
NCU05858,2328,Fatty acid oxygenase,True,1
NCU05849,2329,Cytochrome P450,False,1
NCU02307,2330,Zn(2)-C6 fungal-type domain-containing protein,False,1
mss4,2331,1-phosphatidylinositol-4-phosphate 5-kinase,False,1
NCU02294,2332,Integral membrane protein,False,1
NCU02291,2333,glutaryl-CoA dehydrogenase (ETF),False,1
acd-1,2334,Acyl-CoA dehydrogenase,False,1
NCU02281,2335,ubiquitinyl hydrolase 1,False,1
NCU02278,2336,FAD-binding FR-type domain-containing protein,True,1
bdp-2,2337,SAGA complex subunit Spt7,False,1
NCU02268,2338,Conserved oligomeric Golgi complex subunit 3,False,1
NCU02263,2339,Sec14 cytosolic factor,False,1
NCU02256,2340,Exosome complex exonuclease Rrp6,False,1
hat-5,2341,histone acetyltransferase,False,1
NCU06167,2342,MFS monocarboxylate transporter,False,1
NCU06166,2343,"Alpha-1,2-mannosyltransferase",True,1
NCU06144,2344,Kinesin,False,1
NCU06142,2345,Transaldolase,True,1
NCU06138,2346,Quinate permease,False,1
NCU06132,2347,Siderophore iron transporter,False,1
NCU06112,2348,Glutamate decarboxylase,False,1
NCU06107,2349,Bola-like protein,True,1
NCU06105,2350,ADP-ribosylation factor-binding protein GGA1,False,1
NCU06103,2351,"Translation initiation factor IF-2, mitochondrial",False,1
NCU06099,2352,Eukaryotic translation initiation factor 2A,True,1
NCU05843,2353,Ammonium transporter,True,1
NCU05837,2354,Vacuolar protein sorting-associated protein,False,1
NCU05835,2355,Peptidase A1 domain-containing protein,False,1
NCU05829,2356,Rhodopsin domain-containing protein,False,1
NCU05814,2357,CFEM domain-containing protein,False,1
mrpl22,2358,Large ribosomal subunit protein uL22m,False,1
NCU05809,2359,Transcription initiation factor TFIID subunit 8,False,1
NCU05804,2360,Ribosomal protein L19,False,1
NCU05802,2361,RNA helicase,False,1
NCU05797,2362,U5 snRNP complex subunit,True,1
phy-2,2363,Phytochrome-like histidine kinase 2,False,1
NCU05783,2364,Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1,False,1
NCU05781,2365,Mitotic spindle checkpoint component MAD2,True,1
NCU05778,2366,Iron-sulfur cluster assembly protein,True,1
NCU05634,2367,Endosomal peripheral membrane protein,False,1
NCU09779,2368,mRNA N(6)-methyladenine demethylase,False,1
NCU07054,2369,Sugar transporter 4,False,1
NCU07053,2370,aldehyde dehydrogenase (NAD(+)),False,1
NCU05616,2371,Arsenite methyltransferase,True,1
mrpl27,2372,Large ribosomal subunit protein mL41,False,1
NCU05627,2373,High affinity glucose transporter ght1,True,1
arg-15,2374,Beta-Ala-His dipeptidase,False,1
NCU09864,2375,2-oxoisovalerate dehydrogenase subunit alpha,False,1
NCU09795,2376,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
NCU09793,2377,DNA 3'-5' helicase,False,1
NCU05653,2378,carbonic anhydrase,False,1
NCU05650,2379,Karyopherin Kap123,True,1
NCU05645,2380,U1 snRNP splicing complex subunit,False,1
NCU05642,2381,cysteine--tRNA ligase,False,1
NCU05635,2382,"Required for respiratory growth protein 1, mitochondrial",True,1
NCU04783,2383,EH domain binding protein epsin 2,False,1
nuo9.8,2384,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,False,1
NCU04779,2385,60S ribosomal protein L8,False,1
NCU04778,2386,Carbonic anhydrase,True,1
NCU04773,2387,Copper-fist domain-containing protein,False,1
NCU04768,2388,Electron transfer flavoprotein-ubiquinone oxidoreductase,True,1
NCU04767,2389,DUF676 domain-containing protein,False,1
NCU07113,2390,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,False,1
NCU07092,2391,Cytochrome P450 2C30,False,1
NCU04766,2392,General negative regulator of transcription subunit 1,False,1
NCU04762,2393,Seipin,False,1
tvp-18,2394,Golgi apparatus membrane protein tvp-18,False,1
nuo11.6,2395,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",False,1
bek-2,2396,BEAK-2,False,1
gh10-4,2397,Beta-xylanase,False,1
NCU07124,2398,Terpene synthase,False,1
NCU07119,2399,Nonribosomal peptide synthase 2,False,1
NCU07082,2400,"Aspartate--tRNA ligase, cytoplasmic",True,1
NCU07078,2401,CST complex subunit STN1,False,1
gh81-1,2402,"glucan endo-1,3-beta-D-glucosidase",False,1
NCU07072,2403,Delta(24)-sterol reductase,False,1
mus-44,2404,DNA repair protein RAD10,False,1
NCU07063,2405,Peptidase A1 domain-containing protein,True,1
NCU04741,2406,DASH complex subunit DUO1,False,1
NCU04740,2407,Ribonuclease H2 subunit B,True,1
NCU04738,2408,Uncharacterized protein,False,1
nst-1,2409,Chromatin regulatory protein sir2,False,1
sah-2,2410,HLH transcription factor,False,1
NCU04728,2411,Phosphotransferase,True,1
NCU04727,2412,Glucosamine-6-phosphate isomerase,False,1
NCU04724,2413,VHS domain-containing protein,False,1
NCU04848,2414,C2H2-type domain-containing protein,True,1
hse1,2415,Class E vacuolar protein-sorting machinery protein hse1,False,1
NCU04840,2416,Autophagy-related protein 13,False,1
NCU04837,2417,Mitochondrial 2-oxodicarboxylate carrier 1,False,1
phy-1,2418,Sensor histidine kinase/response regulator,False,1
NCU04830,2419,Copper-fist domain-containing protein,False,1
NCU04827,2420,Zn(2)-C6 fungal-type domain-containing protein,False,1
NCU04818,2421,Cation diffusion facilitator 1,False,1
NCU04817,2422,Electron transfer protein 1,True,1
NCU04815,2423,Lactoylglutathione lyase,True,1
NCU04814,2424,DUF21 and CBS domain-containing protein,False,1
NCU04812,2425,non-specific serine/threonine protein kinase,False,1
NCU04800,2426,HECT-type E3 ubiquitin transferase,False,1
fbp-1,2427,"Fructose-1,6-bisphosphatase",False,1
NCU04796,2428,3-ketoacyl-CoA thiolase,False,1
NCU04788,2429,Cytosolic Fe-S cluster assembling factor NBP35,False,1
bfr2,2430,Protein bfr2,False,1
NCU04784,2431,Peptidase S59 domain-containing protein,True,1
NCU05537,2432,Fumarylacetoacetase,False,1
NCU05536,2433,Zn(2)-C6 fungal-type domain-containing protein,True,1
NCU05523,2434,RNA polymerase II transcription factor B subunit 2,False,1
NCU05518,2435,Amine oxidase,False,1
NCU05517,2436,Mitochondrial genome maintenance protein MGM101,True,1
NCU05514,2437,Protein YIP,False,1
NCU05513,2438,RCC1-like domain-containing protein,False,1
NCU05499,2439,"homogentisate 1,2-dioxygenase",True,1
NCU05495,2440,Cyanovirin-N homolog,False,1
NCU05606,2441,Glucosidase 2 subunit beta,True,1
NCU05604,2442,laccase,False,1
asd-3,2443,Ascus development protein 3,False,1
NCU05592,2444,E2 ubiquitin-conjugating enzyme,True,1
NCU05591,2445,ABC transporter CDR4,False,1
sip-5,2446,Protein sip-5,False,1
NCU05588,2447,polynucleotide adenylyltransferase,False,1
arp-6,2448,Actin-related protein 6,False,1
NCU05584,2449,SRCR domain-containing protein,False,1
NCU05580,2450,Membrane transporter,False,1
gh3-5,2451,beta-glucosidase,False,1
NCU05558,2452,acetyl-CoA C-acyltransferase,False,1
un-25,2453,60S ribosomal protein L13,False,1
mrpl13,2454,Large ribosomal subunit protein mL50,False,1
NCU05546,2456,Major facilitator superfamily (MFS) profile domain-containing protein,False,1
cpd-7,2457,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",False,1
NCU01254,2458,Zinc transporter,False,1
NCU04333,2459,ubiquitinyl hydrolase 1,False,1
NCU01404,2460,"rRNA methyltransferase 1, mitochondrial",False,1
per-1,2461,Polyketide synthase,False,1
NCU03840,2462,14-3-3 domain-containing protein,False,1
NCU03837,2463,Snf1 kinase complex beta-subunit Gal83,False,1
NCU08879,2464,BRCT domain-containing protein,False,1
NCU03591,2465,ATP-dependent bile acid permease,False,1
NCU06730,2466,beta-glucosidase,False,1
NCU08877,2467,Glycine cleavage system H protein,False,1
NCU08874,2468,Trafficking protein particle complex subunit,True,1
NCU03661,2470,GTPase-activating protein GYP7,False,1
NCU01269,2471,Cell cycle regulatory protein,False,1
NCU01268,2472,E2 ubiquitin-conjugating enzyme,False,1
NCU01266,2473,Phosphoinositide phospholipase C,False,1
NCU08968,2474,rRNA adenine N(6)-methyltransferase,False,1
NCU01279,2475,ER membrane protein,False,1
NCU01409,2476,Ran-binding protein,False,1
crf7-1,2477,Chromodomain-helicase-DNA-binding protein 4,False,1
NCU04100,2478,Vacuolar protein sorting-associated protein 1,True,1
